,x_coordinate,y_coordinate,x_scaled,y_scaled
100,26.840753,82.723568,1.75063,5.486581
101,26.951941,77.944436,1.757882,5.169608
102,32.56214,75.400503,2.123795,5.000884
103,27.108845,68.916341,1.768116,4.570826
104,20.779729,72.84275,1.355313,4.831243
105,34.648642,74.71747,2.259883,4.955582
106,27.334714,70.61497,1.782848,4.683487
107,38.635288,76.126794,2.519903,5.049055
108,27.362781,80.602809,1.784678,5.345923
109,22.251731,70.196963,1.451321,4.655763
110,23.561818,68.231331,1.536769,4.525394
111,28.683402,83.835794,1.870813,5.560348
112,33.840776,83.973717,2.207192,5.569496
113,28.22316,70.711223,1.840795,4.689871
114,38.085839,72.224251,2.484067,4.790221
115,29.885628,79.617155,1.949226,5.28055
116,28.408505,74.817202,1.852883,4.962197
117,31.720787,81.285494,2.06892,5.391202
118,25.21074,79.839476,1.644316,5.295295
119,28.676889,82.545052,1.870388,5.474741
120,32.248621,72.412165,2.103347,4.802684
121,26.387527,74.603957,1.72107,4.948053
122,28.69901,68.842615,1.871831,4.565937
123,26.075497,73.289368,1.700718,4.860864
124,34.28711,80.516006,2.236303,5.340166
125,24.026824,82.639657,1.567098,5.481015
126,30.831878,66.387547,2.010943,4.403106
127,32.375716,73.357374,2.111636,4.865375
128,22.762308,72.537598,1.484622,4.811004
129,35.251224,73.719608,2.299185,4.8894
130,70.182391,78.161665,4.577495,5.184016
131,79.589885,75.993499,5.191079,5.040214
132,65.727165,67.237386,4.286913,4.459471
133,68.483399,82.50606,4.466682,5.472155
134,76.413585,77.725563,4.983911,5.155092
135,79.268745,73.680573,5.170133,4.886811
136,64.841823,83.339678,4.229168,5.527444
137,71.117741,84.678974,4.638501,5.616272
138,78.340204,71.78111,5.109571,4.76083
139,63.618463,68.16591,4.149377,4.521055
140,67.539683,83.879257,4.40513,5.563231
141,69.150878,74.223677,4.510217,4.922832
142,67.792134,78.152683,4.421596,5.18342
143,76.871404,74.21207,5.013772,4.922062
144,62.004372,75.131064,4.044101,4.983013
145,67.49126,77.719605,4.401972,5.154696
146,71.907479,71.082563,4.69001,4.7145
147,65.275761,74.663448,4.257471,4.951999
148,77.585295,80.3556,5.060334,5.329527
149,79.660664,73.340171,5.195695,4.864234
150,77.324635,70.126146,5.043333,4.651066
151,68.579002,77.467976,4.472918,5.138007
152,65.976496,77.652325,4.303175,5.150234
153,71.555756,76.709486,4.66707,5.087701
154,69.836717,73.943551,4.554949,4.904252
155,70.494322,71.198644,4.59784,4.722198
156,72.627434,76.434187,4.736968,5.069442
157,67.669702,70.62891,4.41361,4.684411
158,63.445592,78.574439,4.138102,5.211393
159,75.457836,68.448935,4.921575,4.539826
